"date","state","y"
1989-01-01,"Alabama",7406
1989-02-01,"Alabama",7044
1989-03-01,"Alabama",7392
1989-04-01,"Alabama",4722
1989-05-01,"Alabama",2856
1989-06-01,"Alabama",1709
1989-07-01,"Alabama",1457
1989-08-01,"Alabama",1383
1989-09-01,"Alabama",1404
1989-10-01,"Alabama",1862
1989-11-01,"Alabama",3646
1989-12-01,"Alabama",7240
1990-01-01,"Alabama",10893
1990-02-01,"Alabama",6493
1990-03-01,"Alabama",5254
1990-04-01,"Alabama",4143
1990-05-01,"Alabama",2657
1990-06-01,"Alabama",1625
1990-07-01,"Alabama",1411
1990-08-01,"Alabama",1334
1990-09-01,"Alabama",1356
1990-10-01,"Alabama",1529
1990-11-01,"Alabama",3360
1990-12-01,"Alabama",5355
1991-01-01,"Alabama",7299
1991-02-01,"Alabama",8327
1991-03-01,"Alabama",6724
1991-04-01,"Alabama",3891
1991-05-01,"Alabama",2059
1991-06-01,"Alabama",1583
1991-07-01,"Alabama",1434
1991-08-01,"Alabama",1368
1991-09-01,"Alabama",1389
1991-10-01,"Alabama",1793
1991-11-01,"Alabama",3886
1991-12-01,"Alabama",6396
1992-01-01,"Alabama",8777
1992-02-01,"Alabama",9267
1992-03-01,"Alabama",5605
1992-04-01,"Alabama",5012
1992-05-01,"Alabama",2714
1992-06-01,"Alabama",1772
1992-07-01,"Alabama",1423
1992-08-01,"Alabama",1311
1992-09-01,"Alabama",1373
1992-10-01,"Alabama",1728
1992-11-01,"Alabama",3402
1992-12-01,"Alabama",7261
1993-01-01,"Alabama",8110
1993-02-01,"Alabama",8189
1993-03-01,"Alabama",8716
1993-04-01,"Alabama",5668
1993-05-01,"Alabama",2848
1993-06-01,"Alabama",1641
1993-07-01,"Alabama",1430
1993-08-01,"Alabama",1328
1993-09-01,"Alabama",1330
1993-10-01,"Alabama",1526
1993-11-01,"Alabama",3853
1993-12-01,"Alabama",6727
1994-01-01,"Alabama",10714
1994-02-01,"Alabama",10653
1994-03-01,"Alabama",6935
1994-04-01,"Alabama",4557
1994-05-01,"Alabama",2208
1994-06-01,"Alabama",1542
1994-07-01,"Alabama",1361
1994-08-01,"Alabama",1323
1994-09-01,"Alabama",1325
1994-10-01,"Alabama",1495
1994-11-01,"Alabama",2602
1994-12-01,"Alabama",5034
1995-01-01,"Alabama",8338
1995-02-01,"Alabama",9200
1995-03-01,"Alabama",7586
1995-04-01,"Alabama",3692
1995-05-01,"Alabama",2206
1995-06-01,"Alabama",1565
1995-07-01,"Alabama",1401
1995-08-01,"Alabama",1299
1995-09-01,"Alabama",1279
1995-10-01,"Alabama",1542
1995-11-01,"Alabama",3902
1995-12-01,"Alabama",7563
1996-01-01,"Alabama",10893
1996-02-01,"Alabama",11222
1996-03-01,"Alabama",8051
1996-04-01,"Alabama",6321
1996-05-01,"Alabama",2948
1996-06-01,"Alabama",1472
1996-07-01,"Alabama",1295
1996-08-01,"Alabama",1227
1996-09-01,"Alabama",1321
1996-10-01,"Alabama",1647
1996-11-01,"Alabama",3461
1996-12-01,"Alabama",6664
1997-01-01,"Alabama",9322
1997-02-01,"Alabama",9129
1997-03-01,"Alabama",5344
1997-04-01,"Alabama",3191
1997-05-01,"Alabama",2648
1997-06-01,"Alabama",1609
1997-07-01,"Alabama",1397
1997-08-01,"Alabama",1242
1997-09-01,"Alabama",1254
1997-10-01,"Alabama",1440
1997-11-01,"Alabama",3977
1997-12-01,"Alabama",7942
1998-01-01,"Alabama",9683
1998-02-01,"Alabama",9216
1998-03-01,"Alabama",7486
1998-04-01,"Alabama",4584
1998-05-01,"Alabama",2354
1998-06-01,"Alabama",1394
1998-07-01,"Alabama",1212
1998-08-01,"Alabama",1183
1998-09-01,"Alabama",1196
1998-10-01,"Alabama",1320
1998-11-01,"Alabama",2468
1998-12-01,"Alabama",4447
1999-01-01,"Alabama",9018
1999-02-01,"Alabama",6161
1999-03-01,"Alabama",6393
1999-04-01,"Alabama",3892
1999-05-01,"Alabama",1873
1999-06-01,"Alabama",1357
1999-07-01,"Alabama",1259
1999-08-01,"Alabama",1126
1999-09-01,"Alabama",1185
1999-10-01,"Alabama",1560
1999-11-01,"Alabama",3069
1999-12-01,"Alabama",5754
2000-01-01,"Alabama",8671
2000-02-01,"Alabama",9716
2000-03-01,"Alabama",4805
2000-04-01,"Alabama",3471
2000-05-01,"Alabama",2320
2000-06-01,"Alabama",1383
2000-07-01,"Alabama",1247
2000-08-01,"Alabama",1175
2000-09-01,"Alabama",1202
2000-10-01,"Alabama",1761
2000-11-01,"Alabama",3005
2000-12-01,"Alabama",8686
2001-01-01,"Alabama",13490
2001-02-01,"Alabama",8987
2001-03-01,"Alabama",5867
2001-04-01,"Alabama",4787
2001-05-01,"Alabama",1968
2001-06-01,"Alabama",1348
2001-07-01,"Alabama",1194
2001-08-01,"Alabama",1185
2001-09-01,"Alabama",1164
2001-10-01,"Alabama",1706
2001-11-01,"Alabama",3075
2001-12-01,"Alabama",4470
2002-01-01,"Alabama",9350
2002-02-01,"Alabama",7981
2002-03-01,"Alabama",7349
2002-04-01,"Alabama",3484
2002-05-01,"Alabama",1688
2002-06-01,"Alabama",1446
2002-07-01,"Alabama",1150
2002-08-01,"Alabama",1122
2002-09-01,"Alabama",1130
2002-10-01,"Alabama",1225
2002-11-01,"Alabama",2890
2002-12-01,"Alabama",7667
2003-01-01,"Alabama",10529
2003-02-01,"Alabama",10219
2003-03-01,"Alabama",6038
2003-04-01,"Alabama",3253
2003-05-01,"Alabama",1909
2003-06-01,"Alabama",1317
2003-07-01,"Alabama",1169
2003-08-01,"Alabama",1123
2003-09-01,"Alabama",1116
2003-10-01,"Alabama",1452
2003-11-01,"Alabama",2159
2003-12-01,"Alabama",6288
2004-01-01,"Alabama",10044
2004-02-01,"Alabama",9400
2004-03-01,"Alabama",6062
2004-04-01,"Alabama",3296
2004-05-01,"Alabama",1960
2004-06-01,"Alabama",1216
2004-07-01,"Alabama",1138
2004-08-01,"Alabama",1072
2004-09-01,"Alabama",1124
2004-10-01,"Alabama",1241
2004-11-01,"Alabama",1887
2004-12-01,"Alabama",5420
