"year","state","y"
1997,"Alabama",324158
1998,"Alabama",329134
1999,"Alabama",337270
2000,"Alabama",353614
2001,"Alabama",332693
2002,"Alabama",379343
2003,"Alabama",350345
2004,"Alabama",382367
2005,"Alabama",353156
2006,"Alabama",391093
2007,"Alabama",418512
2008,"Alabama",404157
2009,"Alabama",454456
2010,"Alabama",534779
2011,"Alabama",598514
2012,"Alabama",666712
2013,"Alabama",615407
2014,"Alabama",635323
2015,"Alabama",681149
2016,"Alabama",694881
2017,"Alabama",661366
2018,"Alabama",750188
2019,"Alabama",729402
1997,"Alaska",425393
1998,"Alaska",434871
1999,"Alaska",422816
2000,"Alaska",427288
2001,"Alaska",408960
2002,"Alaska",419131
2003,"Alaska",414234
2004,"Alaska",406319
2005,"Alaska",432972
2006,"Alaska",373850
2007,"Alaska",369967
2008,"Alaska",341888
2009,"Alaska",342261
2010,"Alaska",333312
2011,"Alaska",335458
2012,"Alaska",343110
2013,"Alaska",332298
2014,"Alaska",328945
2015,"Alaska",333602
2016,"Alaska",330552
2017,"Alaska",347725
2018,"Alaska",355132
2019,"Alaska",366476
1997,"Arizona",134706
1998,"Arizona",158355
1999,"Arizona",165076
2000,"Arizona",205235
2001,"Arizona",240812
2002,"Arizona",250734
2003,"Arizona",272921
2004,"Arizona",349622
2005,"Arizona",321584
2006,"Arizona",358069
2007,"Arizona",392954
2008,"Arizona",399188
2009,"Arizona",369739
2010,"Arizona",330914
2011,"Arizona",288802
2012,"Arizona",332068
2013,"Arizona",332073
2014,"Arizona",306715
2015,"Arizona",351263
2016,"Arizona",360576
2017,"Arizona",321451
2018,"Arizona",384753
2019,"Arizona",468482
1997,"Arkansas",260113
1998,"Arkansas",266485
1999,"Arkansas",252853
2000,"Arkansas",251329
2001,"Arkansas",227943
2002,"Arkansas",242325
2003,"Arkansas",246916
2004,"Arkansas",215124
2005,"Arkansas",213609
2006,"Arkansas",233868
2007,"Arkansas",226439
2008,"Arkansas",234901
2009,"Arkansas",244193
2010,"Arkansas",271515
2011,"Arkansas",284076
2012,"Arkansas",296132
2013,"Arkansas",282120
2014,"Arkansas",268444
2015,"Arkansas",291006
2016,"Arkansas",309732
2017,"Arkansas",311609
2018,"Arkansas",360804
2019,"Arkansas",360024
1997,"California",2146211
1998,"California",2309883
1999,"California",2339521
2000,"California",2508797
2001,"California",2464565
2002,"California",2273193
2003,"California",2269405
2004,"California",2406889
2005,"California",2248256
2006,"California",2315721
2007,"California",2395674
2008,"California",2405266
2009,"California",2328504
2010,"California",2273128
2011,"California",2153186
2012,"California",2403494
2013,"California",2415571
2014,"California",2339392
2015,"California",2301217
2016,"California",2172889
2017,"California",2116902
2018,"California",2137920
2019,"California",2154030
1997,"Colorado",314486
1998,"Colorado",330259
1999,"Colorado",333085
2000,"Colorado",367920
2001,"Colorado",463738
2002,"Colorado",459397
2003,"Colorado",436253
2004,"Colorado",440378
2005,"Colorado",470321
2006,"Colorado",450832
2007,"Colorado",504775
2008,"Colorado",504783
2009,"Colorado",523726
2010,"Colorado",501350
2011,"Colorado",466680
2012,"Colorado",443750
2013,"Colorado",467798
2014,"Colorado",478987
2015,"Colorado",466906
2016,"Colorado",441018
2017,"Colorado",438137
2018,"Colorado",485735
2019,"Colorado",520139
1997,"Connecticut",144708
1998,"Connecticut",131497
1999,"Connecticut",152237
2000,"Connecticut",159712
2001,"Connecticut",146278
2002,"Connecticut",177587
2003,"Connecticut",154075
2004,"Connecticut",162642
2005,"Connecticut",168067
2006,"Connecticut",172682
2007,"Connecticut",180181
2008,"Connecticut",166801
2009,"Connecticut",185056
2010,"Connecticut",199426
2011,"Connecticut",230036
2012,"Connecticut",229156
2013,"Connecticut",234475
2014,"Connecticut",235859
2015,"Connecticut",254065
2016,"Connecticut",247958
2017,"Connecticut",239818
2018,"Connecticut",277931
2019,"Connecticut",283408
1997,"Delaware",46511
1998,"Delaware",40809
1999,"Delaware",56013
2000,"Delaware",48387
2001,"Delaware",50113
2002,"Delaware",52216
2003,"Delaware",46177
2004,"Delaware",48057
2005,"Delaware",46904
2006,"Delaware",43190
2007,"Delaware",48155
2008,"Delaware",48162
2009,"Delaware",50148
2010,"Delaware",54825
2011,"Delaware",79715
2012,"Delaware",101676
2013,"Delaware",95978
2014,"Delaware",101379
2015,"Delaware",102693
2016,"Delaware",108562
2017,"Delaware",98966
2018,"Delaware",95516
2019,"Delaware",89214
1997,"District of Columbia",34105
1998,"District of Columbia",30409
1999,"District of Columbia",32281
2000,"District of Columbia",33468
2001,"District of Columbia",29802
2002,"District of Columbia",32898
2003,"District of Columbia",32814
2004,"District of Columbia",32227
2005,"District of Columbia",32085
2006,"District of Columbia",29049
2007,"District of Columbia",32966
2008,"District of Columbia",31880
2009,"District of Columbia",33177
2010,"District of Columbia",33251
2011,"District of Columbia",32862
2012,"District of Columbia",28561
2013,"District of Columbia",32743
2014,"District of Columbia",33848
2015,"District of Columbia",32237
2016,"District of Columbia",28888
2017,"District of Columbia",29457
2018,"District of Columbia",31490
2019,"District of Columbia",30544
1999,"Federal Offshore -- Gulf of Mexico",0
2000,"Federal Offshore -- Gulf of Mexico",0
2001,"Federal Offshore -- Gulf of Mexico",0
2002,"Federal Offshore -- Gulf of Mexico",109277
2003,"Federal Offshore -- Gulf of Mexico",98372
2004,"Federal Offshore -- Gulf of Mexico",90025
2005,"Federal Offshore -- Gulf of Mexico",78139
2006,"Federal Offshore -- Gulf of Mexico",102242
2007,"Federal Offshore -- Gulf of Mexico",115528
2008,"Federal Offshore -- Gulf of Mexico",102389
2009,"Federal Offshore -- Gulf of Mexico",103976
2010,"Federal Offshore -- Gulf of Mexico",108490
2011,"Federal Offshore -- Gulf of Mexico",101217
2012,"Federal Offshore -- Gulf of Mexico",93985
2013,"Federal Offshore -- Gulf of Mexico",95207
2014,"Federal Offshore -- Gulf of Mexico",93814
2015,"Federal Offshore -- Gulf of Mexico",95492
2016,"Federal Offshore -- Gulf of Mexico",95832
2017,"Federal Offshore -- Gulf of Mexico",94379
2018,"Federal Offshore -- Gulf of Mexico",94178
2019,"Federal Offshore -- Gulf of Mexico",94298
1997,"Florida",522116
1998,"Florida",503844
1999,"Florida",559366
2000,"Florida",541847
2001,"Florida",543143
2002,"Florida",689337
2003,"Florida",689986
2004,"Florida",734178
2005,"Florida",778209
2006,"Florida",891611
2007,"Florida",917244
2008,"Florida",942699
2009,"Florida",1055340
2010,"Florida",1158452
2011,"Florida",1217689
2012,"Florida",1328463
2013,"Florida",1225676
2014,"Florida",1214531
2015,"Florida",1345790
2016,"Florida",1382558
2017,"Florida",1387960
2018,"Florida",1477160
2019,"Florida",1545434
1997,"Georgia",371376
1998,"Georgia",368579
1999,"Georgia",337576
2000,"Georgia",413845
2001,"Georgia",351109
2002,"Georgia",383546
2003,"Georgia",379761
2004,"Georgia",394986
2005,"Georgia",412560
2006,"Georgia",420469
2007,"Georgia",441107
2008,"Georgia",425043
2009,"Georgia",462799
2010,"Georgia",530030
2011,"Georgia",522897
2012,"Georgia",615771
2013,"Georgia",625283
2014,"Georgia",652408
2015,"Georgia",694399
2016,"Georgia",706688
2017,"Georgia",689501
2018,"Georgia",738986
2019,"Georgia",753735
1997,"Hawaii",2894
1998,"Hawaii",2654
1999,"Hawaii",3115
2000,"Hawaii",2841
2001,"Hawaii",2818
2002,"Hawaii",2734
2003,"Hawaii",2732
2004,"Hawaii",2774
2005,"Hawaii",2795
2006,"Hawaii",2783
2007,"Hawaii",2850
2008,"Hawaii",2702
2009,"Hawaii",2607
2010,"Hawaii",2627
2011,"Hawaii",2619
2012,"Hawaii",2689
2013,"Hawaii",2855
2014,"Hawaii",2916
2015,"Hawaii",2924
2016,"Hawaii",3040
2017,"Hawaii",3106
2018,"Hawaii",3282
2019,"Hawaii",3277
1997,"Idaho",68669
1998,"Idaho",69277
1999,"Idaho",70672
2000,"Idaho",72697
2001,"Idaho",80279
2002,"Idaho",71481
2003,"Idaho",69868
2004,"Idaho",75335
2005,"Idaho",74540
2006,"Idaho",75709
2007,"Idaho",81937
2008,"Idaho",88515
2009,"Idaho",85197
2010,"Idaho",83326
2011,"Idaho",82544
2012,"Idaho",89004
2013,"Idaho",104783
2014,"Idaho",92046
2015,"Idaho",104730
2016,"Idaho",106306
2017,"Idaho",111334
2018,"Idaho",111700
2019,"Idaho",127638
1997,"Illinois",1077139
1998,"Illinois",957254
1999,"Illinois",1004281
2000,"Illinois",1030604
2001,"Illinois",951616
2002,"Illinois",1049878
2003,"Illinois",998486
2004,"Illinois",953207
2005,"Illinois",969642
2006,"Illinois",893997
2007,"Illinois",965591
2008,"Illinois",1000501
2009,"Illinois",956068
2010,"Illinois",966678
2011,"Illinois",986867
2012,"Illinois",940367
2013,"Illinois",1056826
2014,"Illinois",1093931
2015,"Illinois",993548
2016,"Illinois",1024186
2017,"Illinois",1017772
2018,"Illinois",1108592
2019,"Illinois",1134722
1997,"Indiana",556624
1998,"Indiana",521748
1999,"Indiana",556932
2000,"Indiana",570558
2001,"Indiana",501711
2002,"Indiana",539034
2003,"Indiana",527037
2004,"Indiana",526701
2005,"Indiana",531111
2006,"Indiana",496303
2007,"Indiana",535796
2008,"Indiana",551424
2009,"Indiana",506944
2010,"Indiana",573866
2011,"Indiana",630669
2012,"Indiana",649921
2013,"Indiana",672751
2014,"Indiana",713416
2015,"Indiana",718725
2016,"Indiana",754276
2017,"Indiana",720453
2018,"Indiana",854024
